claim_id,is_fraud,sequence_length,total_duration,event_sequence
F_46,1,12,35,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_47,1,12,45,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_48,1,5,23,"['First Notice of Loss', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_49,1,7,28,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_50,1,12,37,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_51,1,8,24,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_52,1,7,25,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_53,1,8,39,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_54,1,9,28,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_55,1,9,24,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_56,1,8,28,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_57,1,8,33,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_58,1,9,29,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_59,1,6,18,"['First Notice of Loss', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_60,1,8,27,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_61,1,7,18,"['First Notice of Loss', 'Expert Consultation', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_62,1,9,35,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_63,1,8,29,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_64,1,9,37,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_65,1,8,22,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_66,1,8,40,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_67,1,12,39,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_68,1,9,31,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_69,1,8,28,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_70,1,12,46,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_71,1,8,19,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_72,1,10,32,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Parts Ordered', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_73,1,9,24,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_74,1,8,20,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_75,1,9,21,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_76,1,8,32,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_77,1,12,32,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_78,1,9,30,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_79,1,11,34,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_80,1,12,43,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_81,1,12,48,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_82,1,12,35,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_83,1,9,26,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_84,1,9,35,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_85,1,13,33,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_86,1,10,40,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_87,1,14,46,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_88,1,10,38,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_89,1,9,32,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_90,1,10,32,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Initial Assessment', 'Claim Closed']"
F_91,1,10,40,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_92,1,13,39,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_93,1,14,49,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_94,1,13,41,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_95,1,13,42,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_96,1,11,35,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_97,1,11,35,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_98,1,14,41,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_99,1,11,43,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_100,1,15,44,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_101,1,10,40,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_102,1,11,36,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_103,1,15,41,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_104,1,16,39,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_105,1,16,57,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_106,1,10,26,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_107,1,15,64,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_108,1,15,46,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_109,1,11,39,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_110,1,11,32,"['First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_111,1,16,59,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_112,1,11,37,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_113,1,16,52,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_114,1,11,32,"['First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_115,1,12,31,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_116,1,12,40,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_117,1,12,41,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_118,1,13,41,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Repair Authorization', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_119,1,16,46,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Expert Consultation', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_120,1,17,53,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_121,1,17,69,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_122,1,13,42,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Repair Authorization', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_123,1,17,57,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_124,1,17,61,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_125,1,17,53,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_126,1,13,48,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Repair Authorization', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_127,1,16,55,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Expert Consultation', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_128,1,14,43,"['First Notice of Loss', 'First Notice of Loss', 'Police Report Filed', 'Police Report Filed', 'Repair Authorization', 'Initial Assessment', 'Parts Ordered', 'Witness Statement', 'Witness Statement', 'Initial Assessment', 'First Notice of Loss', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_129,1,11,31,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
F_130,1,16,52,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Repair Authorization', 'Parts Ordered', 'Expert Consultation', 'Payment Processing', 'Final Assessment', 'Initial Assessment', 'Payment Processing', 'Payment Processing', 'Expert Consultation', 'Expert Consultation', 'Repair In Progress', 'Payment Processing']"
F_131,1,17,53,"['First Notice of Loss', 'Witness Statement', 'Repair Authorization', 'Damage Documentation', 'Final Assessment', 'Repair Authorization', 'Parts Ordered', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Parts Ordered', 'Payment Processing']"
F_132,1,11,45,"['First Notice of Loss', 'Expert Consultation', 'Police Report Filed', 'Police Report Filed', 'Initial Assessment', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Police Report Filed', 'Initial Assessment', 'Claim Closed']"
